 surface  401.3                                                                                                                        
      energy   
    2.2252E-02   2.08394E-09 0.1154
    2.2321E-02   2.07775E-09 0.1243
    2.2390E-02   1.58370E-09 0.1282
    2.2459E-02   1.95588E-09 0.1192
    2.2528E-02   2.83126E-09 0.1135
    2.2597E-02   2.54865E-09 0.1129
    2.2666E-02   2.19749E-09 0.1169
    2.2735E-02   2.54258E-09 0.1130
    2.2804E-02   2.57624E-09 0.1114
    2.2873E-02   2.81307E-09 0.0969
    2.2942E-02   1.96324E-09 0.1195
    2.3011E-02   2.50177E-09 0.1168
    2.3080E-02   2.30820E-09 0.1112
    2.3149E-02   2.18941E-09 0.1121
    2.3218E-02   2.48874E-09 0.1071
    2.3287E-02   2.75828E-09 0.1007
    2.3356E-02   2.70368E-09 0.1110
    2.3425E-02   2.67705E-09 0.1059
    2.3494E-02   2.65596E-09 0.1063
    2.3563E-02   2.45475E-09 0.1081
    2.3632E-02   2.96809E-09 0.0968
    2.3701E-02   3.13048E-09 0.0936
    2.3770E-02   2.75512E-09 0.0978
    2.3839E-02   2.68577E-09 0.0992
    2.3908E-02   2.84906E-09 0.1094
    2.3977E-02   3.00120E-09 0.1008
    2.4046E-02   3.61845E-09 0.0975
    2.4115E-02   2.99233E-09 0.0958
    2.4184E-02   3.19219E-09 0.1056
    2.4253E-02   2.79703E-09 0.1078
    2.4322E-02   2.64531E-09 0.1054
    2.4391E-02   2.47785E-09 0.0992
    2.4460E-02   2.93681E-09 0.0937
    2.4529E-02   3.35984E-09 0.0954
    2.4598E-02   3.35002E-09 0.0959
    2.4667E-02   3.46725E-09 0.0856
    2.4736E-02   3.05966E-09 0.1041
    2.4805E-02   3.00210E-09 0.1004
    2.4874E-02   2.94737E-09 0.0990
    2.4943E-02   3.08960E-09 0.1006
    2.5012E-02   3.06103E-09 0.0913
    2.5081E-02   3.23427E-09 0.0954
    2.5150E-02   3.55819E-09 0.0899
    2.5219E-02   3.20493E-09 0.0937
    2.5288E-02   3.53483E-09 0.0926
    2.5357E-02   3.81359E-09 0.0844
    2.5426E-02   3.65235E-09 0.0869
    2.5495E-02   3.09651E-09 0.0980
    2.5564E-02   3.45561E-09 0.0872
    2.5633E-02   3.26956E-09 0.0924
    2.5702E-02   3.45297E-09 0.0917
    2.5771E-02   3.40124E-09 0.0834
    2.5840E-02   3.99202E-09 0.0852
    2.5909E-02   3.65384E-09 0.0842
    2.5978E-02   3.87928E-09 0.0917
    2.6047E-02   3.44897E-09 0.0917
    2.6116E-02   3.58355E-09 0.0830
    2.6185E-02   3.53665E-09 0.0940
    2.6254E-02   3.63575E-09 0.0801
    2.6323E-02   3.21929E-09 0.0929
    2.6392E-02   4.01664E-09 0.0899
    2.6461E-02   3.67000E-09 0.0816
    2.6530E-02   4.30459E-09 0.0815
    2.6599E-02   3.88113E-09 0.0881
    2.6668E-02   3.83247E-09 0.0873
    2.6737E-02   3.00764E-09 0.0908
    2.6806E-02   4.10621E-09 0.0849
    2.6875E-02   3.96506E-09 0.0869
    2.6944E-02   3.64251E-09 0.0840
    2.7013E-02   3.83983E-09 0.0793
    2.7082E-02   3.88726E-09 0.0846
    2.7151E-02   3.96877E-09 0.0849
    2.7220E-02   3.45111E-09 0.0906
    2.7289E-02   3.65056E-09 0.0839
    2.7358E-02   3.85641E-09 0.0868
    2.7427E-02   4.30198E-09 0.0825
    2.7496E-02   4.17663E-09 0.0828
    2.7565E-02   3.54936E-09 0.0825
    2.7634E-02   3.65467E-09 0.0789
    2.7703E-02   3.52621E-09 0.0873
    2.7772E-02   4.24824E-09 0.0861
    2.7841E-02   4.25693E-09 0.0797
    2.7910E-02   4.09144E-09 0.0814
    2.7979E-02   4.13479E-09 0.0844
    2.8048E-02   4.28161E-09 0.0793
    2.8117E-02   4.12968E-09 0.0792
    2.8186E-02   4.24017E-09 0.0829
    2.8255E-02   4.24981E-09 0.0915
    2.8324E-02   3.91408E-09 0.0854
    2.8393E-02   3.74447E-09 0.0781
    2.8462E-02   4.48659E-09 0.0799
    2.8531E-02   4.78121E-09 0.0753
    2.8600E-02   4.29907E-09 0.0760
    2.8669E-02   4.00996E-09 0.0854
    2.8738E-02   4.81042E-09 0.0750
    2.8807E-02   4.09012E-09 0.0831
    2.8876E-02   4.23455E-09 0.0795
    2.8945E-02   3.91557E-09 0.0868
    2.9014E-02   4.10317E-09 0.0813
    2.9083E-02   4.50437E-09 0.0804
    2.9152E-02   3.99987E-09 0.0819
    2.9221E-02   4.63480E-09 0.0739
    2.9290E-02   4.81794E-09 0.0776
    2.9359E-02   3.93021E-09 0.0880
    2.9428E-02   4.54326E-09 0.0806
    2.9497E-02   4.39692E-09 0.0743
    2.9566E-02   4.58310E-09 0.0813
    2.9635E-02   4.40234E-09 0.0775
    2.9704E-02   3.98055E-09 0.0786
    2.9773E-02   4.00554E-09 0.0837
    2.9842E-02   3.94543E-09 0.0749
    2.9911E-02   4.48008E-09 0.0834
    2.9980E-02   4.42349E-09 0.0784
    3.0049E-02   4.25699E-09 0.0805
    3.0118E-02   4.53766E-09 0.0741
    3.0187E-02   4.30380E-09 0.0782
    3.0256E-02   3.73169E-09 0.0810
    3.0325E-02   4.64834E-09 0.0788
    3.0394E-02   3.53669E-09 0.0837
    3.0463E-02   4.52730E-09 0.0770
    3.0532E-02   4.44623E-09 0.0732
    3.0601E-02   4.32563E-09 0.0759
    3.0670E-02   3.70147E-09 0.0894
    3.0739E-02   3.99980E-09 0.0833
    3.0808E-02   4.66735E-09 0.0770
    3.0877E-02   4.92666E-09 0.0733
    3.0946E-02   4.47510E-09 0.0760
    3.1015E-02   4.61061E-09 0.0748
    3.1084E-02   4.74531E-09 0.0761
    3.1153E-02   3.96808E-09 0.0740
    3.1222E-02   4.43408E-09 0.0714
    3.1291E-02   4.36457E-09 0.0772
    3.1360E-02   4.46798E-09 0.0743
    3.1429E-02   4.25930E-09 0.0816
    3.1498E-02   4.63236E-09 0.0801
    3.1567E-02   4.53424E-09 0.0784
    3.1636E-02   5.03458E-09 0.0720
    3.1705E-02   4.35382E-09 0.0835
    3.1774E-02   4.70357E-09 0.0706
    3.1843E-02   4.55392E-09 0.0750
    3.1912E-02   4.61609E-09 0.0729
    3.1981E-02   3.96917E-09 0.0739
    3.2050E-02   4.81818E-09 0.0751
    3.2119E-02   4.04032E-09 0.0789
    3.2188E-02   4.12311E-09 0.0778
    3.2257E-02   4.10980E-09 0.0845
    3.2326E-02   5.00191E-09 0.0773
    3.2395E-02   4.43836E-09 0.0760
    3.2464E-02   4.25704E-09 0.0779
    3.2533E-02   5.33505E-09 0.0704
    3.2602E-02   4.71810E-09 0.0759
    3.2671E-02   4.52880E-09 0.0733
    3.2740E-02   4.79289E-09 0.0721
    3.2809E-02   4.57185E-09 0.0715
    3.2878E-02   4.43117E-09 0.0743
    3.2947E-02   4.37237E-09 0.0796
    3.3016E-02   4.62092E-09 0.0755
    3.3085E-02   4.83415E-09 0.0775
    3.3154E-02   4.57510E-09 0.0760
    3.3223E-02   4.87121E-09 0.0700
    3.3292E-02   4.37171E-09 0.0780
    3.3361E-02   4.64199E-09 0.0735
    3.3430E-02   4.30981E-09 0.0819
    3.3499E-02   4.82251E-09 0.0748
    3.3568E-02   4.72721E-09 0.0772
    3.3637E-02   4.64421E-09 0.0752
    3.3706E-02   4.50638E-09 0.0794
    3.3775E-02   3.98660E-09 0.0789
    3.3844E-02   4.50145E-09 0.0764
    3.3913E-02   4.65483E-09 0.0762
    3.3982E-02   4.71572E-09 0.0770
    3.4051E-02   4.87392E-09 0.0713
    3.4120E-02   4.28868E-09 0.0736
    3.4189E-02   4.83485E-09 0.0745
    3.4258E-02   4.43308E-09 0.0689
    3.4327E-02   4.80266E-09 0.0773
    3.4396E-02   4.98348E-09 0.0702
    3.4465E-02   4.82864E-09 0.0743
    3.4534E-02   4.38878E-09 0.0745
    3.4603E-02   4.42935E-09 0.0738
    3.4672E-02   4.10585E-09 0.0770
    3.4741E-02   4.66569E-09 0.0716
    3.4810E-02   4.12443E-09 0.0731
    3.4879E-02   4.41924E-09 0.0815
    3.4948E-02   3.98598E-09 0.0806
    3.5017E-02   4.73608E-09 0.0709
    3.5086E-02   3.96806E-09 0.0768
    3.5155E-02   4.48121E-09 0.0746
    3.5224E-02   4.63206E-09 0.0761
    3.5293E-02   4.34772E-09 0.0775
    3.5362E-02   3.90319E-09 0.0732
    3.5431E-02   4.68408E-09 0.0742
    3.5500E-02   4.62469E-09 0.0791
    3.5569E-02   4.11077E-09 0.0785
    3.5638E-02   4.20745E-09 0.0776
    3.5707E-02   4.17834E-09 0.0744
    3.5776E-02   4.45845E-09 0.0795
    3.5845E-02   4.25563E-09 0.0786
    3.5914E-02   4.57079E-09 0.0737
    3.5983E-02   4.69582E-09 0.0767
    3.6052E-02   4.19800E-09 0.0757
    3.6121E-02   4.60198E-09 0.0736
    3.6190E-02   4.82998E-09 0.0696
    3.6259E-02   4.50617E-09 0.0725
    3.6328E-02   4.29084E-09 0.0745
    3.6397E-02   4.67131E-09 0.0753
    3.6466E-02   4.00314E-09 0.0816
    3.6535E-02   4.85654E-09 0.0815
    3.6604E-02   3.98017E-09 0.0835
    3.6673E-02   4.81167E-09 0.0740
    3.6742E-02   4.34022E-09 0.0738
    3.6811E-02   4.45394E-09 0.0760
    3.6880E-02   4.43598E-09 0.0730
    3.6949E-02   4.11992E-09 0.0742
    3.7018E-02   4.37431E-09 0.0737
    3.7087E-02   4.29833E-09 0.0727
    3.7156E-02   4.75791E-09 0.0759
    3.7225E-02   3.92817E-09 0.0766
